date_time,temp,rH
196501010000,0,66.21205058
196501010300,1.666666667,51.69392392
196501010600,1.666666667,49.52340325
196501010900,-1.111111111,71.79459038
196501011200,-3.333333333,71.34863809
196501011500,-8.333333333,80.3653648
196501011800,-5.555555556,67.84631957
196501012100,-1.666666667,60.40600444
196501020000,-1.111111111,74.88143141
196501020300,1.111111111,58.5779505
196501020600,1.111111111,49.36191527
196501020900,-2.777777778,74.5780041
196501021200,-3.333333333,81.0980945
196501021500,-3.888888889,81.01863596
196501021800,-2.222222222,84.73259342
196501022100,-2.222222222,88.34118693
196501030000,1.111111111,72.23098256
196501030300,1.111111111,69.29385924
196501030600,-0.555555556,68.94044917
196501030900,-1.111111111,71.79459038
196501031200,-5,80.85827431
196501031500,-7.777777778,76.97535711
196501031800,-7.222222222,73.74332149
196501032100,-2.777777778,68.46053521
196501040000,-0.555555556,66.08546574
196501040300,-1.111111111,71.79459038
196501040600,-2.222222222,84.73259342
196501040900,-2.777777778,92.05043163
196501041200,-2.777777778,84.66732167
196501041500,-2.777777778,74.5780041
196501041800,-3.333333333,84.60164424
196501042100,-2.222222222,77.90598211
196501050000,1.111111111,69.29385924
196501050300,2.777777778,54.25511829
196501050600,1.666666667,63.8679961
196501050900,0,58.28716597
196501051200,-1.666666667,55.38327144
196501051500,-2.222222222,52.85634158
196501051800,0,49.03714865
196501052100,-1.111111111,63.20153459
196501060000,0.555555556,53.63976214
196501060300,0,78.26331412
196501060600,0,75.08089853
196501060900,-1.111111111,65.95824208
196501061200,-3.333333333,71.34863809
196501061500,-6.111111111,77.26028839
196501061800,-5.555555556,77.35415558
196501062100,-3.333333333,71.34863809
196501070000,-2.777777778,74.5780041
196501070300,-1.666666667,71.68400817
196501070600,-1.666666667,68.7017476
196501070900,-3.333333333,84.60164424
196501071200,-3.333333333,84.60164424
196501071500,-3.333333333,84.60164424
196501071800,-2.777777778,71.46103591
196501072100,-2.222222222,65.70186398
196501080000,-1.111111111,63.20153459
196501080300,-0.555555556,81.48830887
196501080600,-1.666666667,81.33362454
196501080900,-2.777777778,74.5780041
196501081200,-3.333333333,74.47571909
196501081500,-5.555555556,67.84631957
196501081800,-6.111111111,73.95554722
196501082100,-5,67.97045632
196501090000,-0.555555556,58.14079858
196501090300,-0.555555556,58.14079858
196501090600,-0.555555556,60.68900401
196501090900,-2.777777778,74.5780041
196501091200,-4.444444444,77.54024907
196501091500,-5.555555556,70.89287698
196501091800,-5.555555556,64.91702313
196501092100,-3.333333333,59.97653957
196501100000,-1.666666667,60.40600444
196501100300,1.111111111,56.14093956
196501100600,-1.111111111,60.54783322
196501100900,-2.222222222,42.29913204
196501101200,-3.888888889,57.2487717
196501101500,-3.888888889,52.37861012
196501101800,-5,77.44747449
196501102100,-2.222222222,50.57424443
196501110000,0,44.92243943
196501110300,1.666666667,61.24716818
196501110600,1.111111111,47.27004066
196501110900,-1.111111111,46.60691084
196501111200,-3.333333333,54.92086896
196501111500,-3.333333333,52.53849825
196501111800,-1.666666667,48.54550583
196501112100,0,46.93962756
196501120000,1.666666667,45.42419582
196501120300,2.222222222,41.79953101
196501120600,2.222222222,41.79953101
196501120900,0,58.28716597
196501121200,0,49.03714865
196501121500,-1.111111111,46.60691084
196501121800,0.555555556,45.09024142
196501122100,0,46.93962756
196501130000,1.666666667,72.33861538
196501130300,2.222222222,61.38509468
196501130600,1.666666667,66.58800769
196501130900,0,78.26331412
196501131200,-1.666666667,81.33362454
196501131500,-3.333333333,84.60164424
196501131800,-2.222222222,65.70186398
196501132100,0.555555556,75.17979821
196501140000,2.222222222,49.68429586
196501140300,2.777777778,52.00828837
196501140600,2.222222222,61.38509468
196501140900,0.555555556,69.1766699
196501141200,-1.111111111,74.88143141
196501141500,-0.555555556,71.90457511
196501141800,-0.555555556,78.17475555
196501142100,-1.111111111,96.00664376
196501150000,-0.555555556,96.02457345
196501150300,-0.555555556,96.02457345
196501150600,-1.111111111,96.00664376
196501150900,-1.111111111,84.86193267
196501151200,-1.111111111,81.41119793
196501151500,-0.555555556,92.18997015
196501151800,-1.111111111,84.86193267
196501152100,-1.111111111,84.86193267
196501160000,0,78.26331412
196501160300,1.666666667,58.72237307
196501160600,1.111111111,69.29385924
196501160900,0.555555556,72.12276741
196501161200,0,66.21205058
196501161500,0.555555556,63.60334542
196501161800,0,69.05886778
196501162100,0,63.47005644
196501170000,1.111111111,53.79454367
196501170300,0.555555556,60.9693838
196501170600,0,63.47005644
196501170900,0.555555556,55.99069533
196501171200,0,60.82951985
196501171500,-0.555555556,60.68900401
196501171800,-1.111111111,74.88143141
196501172100,-1.111111111,81.41119793
196501180000,0.555555556,81.64115733
196501180300,0.555555556,75.17979821
196501180600,-0.555555556,68.94044917
196501180900,-1.666666667,77.99609327
196501181200,-1.666666667,71.68400817
196501181500,-2.222222222,84.73259342
196501181800,-1.111111111,78.08568317
196501182100,-1.111111111,74.88143141
196501190000,0,63.47005644
196501190300,2.222222222,51.85141207
196501190600,0,72.01396618
196501190900,-0.555555556,68.94044917
196501191200,-0.555555556,66.08546574
196501191500,-1.111111111,71.79459038
196501191800,-1.111111111,68.82141036
196501192100,-1.111111111,81.41119793
196501200000,-1.111111111,57.99377749
196501200300,-0.555555556,63.33612061
196501200600,-1.666666667,68.7017476
196501200900,-1.111111111,55.53609914
196501201200,-2.222222222,62.93039863
196501201500,-2.777777778,65.57270235
196501201800,-0.555555556,53.32830231
196501202100,0.555555556,43.15252899
196501210000,0.555555556,55.99069533
196501210300,1.666666667,58.72237307
196501210600,0.555555556,51.37710575
